#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.343024	       0.138091	       62560958	              0	              0	       61993140	          10000	          10000	            320	           1749	              0	              0
# FOUND (3721,6968)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.322983	       0.137119	       58471994	              0	              0	       51453397	          10000	          10000	           2411	           2806	              0	              0
# FOUND (3087,6434)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.392831	       0.150927	       68282450	              0	              0	       59921878	          10000	          10000	           6167	           1343	              0	              0
# FOUND (2977,5786)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.023273	       0.009949	        4709750	              0	              0	        3620633	          10000	          10000	           1111	            890	              0	              0
# FOUND (138,8439)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.275838	       0.118055	       50649804	              0	              0	       32255266	          10000	          10000	           2870	           5814	              0	              0
# FOUND (1655,878)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.467421	       0.192989	       88696538	              0	              0	       72114198	          10000	          10000	           3136	           4785	              0	              0
# FOUND (5323,1160)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.403291	       0.158211	       74463076	              0	              0	       54053919	          10000	          10000	           6534	           3062	              0	              0
# FOUND (2424,2244)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.323271	       0.134841	       61019284	              0	              0	       50071643	          10000	          10000	           4516	           2319	              0	              0
# FOUND (2546,3628)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.406913	       0.175911	       77487854	              0	              0	       75155356	          10000	          10000	            375	           5846	              0	              0
# FOUND (8763,1163)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.759122	       0.323258	      112564682	              0	              0	       58105473	          10000	          10000	           6138	           8753	              0	              0
# FOUND (1460,1051)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.344556	       0.149545	       66477566	              0	              0	       62133627	          10000	          10000	           2886	           1442	              0	              0
# FOUND (3375,8218)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.286717	       0.123486	       54500140	              0	              0	       44717800	          10000	          10000	           3611	           2430	              0	              0
# FOUND (2307,1432)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.631045	       0.271773	      108742164	              0	              0	      106783508	          10000	          10000	            884	           1484	              0	              0
# FOUND (6153,7324)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.179781	       0.077658	       34820090	              0	              0	       31534428	          10000	          10000	            391	           8370	              0	              0
# FOUND (8659,1553)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.921106	       0.395949	      141573066	              0	              0	      138541373	          10000	          10000	           2072	            648	              0	              0
# FOUND (7244,1707)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.669243	       0.288279	      109979772	              0	              0	      107208526	          10000	          10000	           2591	            533	              0	              0
# FOUND (5515,2619)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.457759	       0.198897	       80679068	              0	              0	       50886433	          10000	          10000	           3323	           8082	              0	              0
# FOUND (5496,74)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.017831	       0.007019	        2575438	              0	              0	        2473469	          10000	          10000	           1966	             33	              0	              0
# FOUND (118,9525)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.431316	       0.178958	       75333112	              0	              0	       58595889	          10000	          10000	           2756	           5992	              0	              0
# FOUND (5220,2352)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.079796	       0.031954	       13208346	              0	              0	       11802877	          10000	          10000	            120	           2900	              0	              0
# FOUND (732,771)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.506925	       0.200274	       77699738	              0	              0	       46583340	          10000	          10000	           5622	           5520	              0	              0
# FOUND (1725,3745)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.378716	       0.121374	       59918282	              0	              0	       59301659	          10000	          10000	            981	            620	              0	              0
# FOUND (3127,8130)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.338307	       0.144038	       57828042	              0	              0	       56448851	          10000	          10000	           1567	            764	              0	              0
# FOUND (2980,8569)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.084634	       0.036518	       16074304	              0	              0	       12730523	          10000	          10000	            691	           4611	              0	              0
# FOUND (870,4070)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.491253	       0.207672	       83414006	              0	              0	       61530688	          10000	          10000	           5704	           3821	              0	              0
# FOUND (3207,4424)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.993643	       0.427437	      149463010	              0	              0	      147922261	          10000	          10000	           2011	             55	              0	              0
# FOUND (7358,8087)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.265781	       0.104135	       38068098	              0	              0	       37277124	          10000	          10000	            489	           1328	              0	              0
# FOUND (2103,3755)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.520463	       0.201937	       70555454	              0	              0	       53264641	          10000	          10000	           4677	           3635	              0	              0
# FOUND (2825,2963)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.692018	       0.297112	       99277434	              0	              0	       95682625	          10000	          10000	           2966	           1187	              0	              0
# FOUND (5223,8385)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.790561	       0.336352	      121348870	              0	              0	      119314131	          10000	          10000	           1223	            678	              0	              0
# FOUND (6289,7348)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.280455	       0.117567	       46127848	              0	              0	       45286824	          10000	          10000	           2465	            326	              0	              0
# FOUND (2296,9099)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.992565	       0.432042	      151711978	              0	              0	      150994543	          10000	          10000	            348	            741	              0	              0
# FOUND (8114,2913)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.376015	       0.164364	       65363992	              0	              0	       62310035	          10000	          10000	           2602	            957	              0	              0
# FOUND (3275,8938)
